GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,com.doctorbooking.backend.controller,AuthController,0,54,0,0,0,15,0,3,0,3
backend,com.doctorbooking.backend.controller,PublicController,0,20,0,0,0,5,0,2,0,2
backend,com.doctorbooking.backend.controller,FamilyMemberController,45,158,0,0,9,36,3,8,3,8
backend,com.doctorbooking.backend.controller,DoctorController,6,496,0,10,0,143,1,31,1,26
backend,com.doctorbooking.backend.controller,NotificationController,0,177,1,3,0,45,1,9,0,8
backend,com.doctorbooking.backend.controller,UserController,0,171,1,7,0,41,1,10,0,7
backend,com.doctorbooking.backend.controller,PatientController,0,548,3,19,0,142,3,29,0,21
backend,com.doctorbooking.backend.controller,PaymentController,97,758,12,36,30,169,13,34,1,22
backend,com.doctorbooking.backend.controller,AdminController,0,304,1,3,0,81,1,22,0,21
backend,com.doctorbooking.backend.service,AppointmentService,200,1578,56,130,44,358,55,79,4,37
backend,com.doctorbooking.backend.service,DoctorService,19,469,21,35,0,108,24,21,3,14
backend,com.doctorbooking.backend.service,FeedbackService,197,417,13,33,34,94,26,29,18,14
backend,com.doctorbooking.backend.service,UserService,160,408,17,27,27,91,25,24,10,16
backend,com.doctorbooking.backend.service,MedicationService,0,23,0,6,0,4,0,4,0,1
backend,com.doctorbooking.backend.service,AuthService,73,353,10,16,17,94,9,10,1,3
backend,com.doctorbooking.backend.service,FamilyMemberService,8,314,4,36,2,70,4,23,0,7
backend,com.doctorbooking.backend.service,WalletService,40,628,10,26,6,126,13,16,3,8
backend,com.doctorbooking.backend.service,VNPayService,49,643,19,31,13,139,18,18,0,11
backend,com.doctorbooking.backend.service,NotificationService,0,179,0,6,0,37,0,13,0,10
backend,com.doctorbooking.backend.service,AdminService,0,318,1,13,0,69,1,29,0,23
backend,com.doctorbooking.backend.service,TreatmentService,64,458,25,35,11,107,27,19,2,14
backend,com.doctorbooking.backend.service,PatientService,4,205,6,14,1,48,6,14,0,10
